"Country","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","84","87","86","89","84","78","76","74","72","78","71","68","64","66","60","60","57","51","44","46","43","30"
"Albania","99","98","99","99","99","99","99","99","99","96","97","99","97","99","98","97","98","97","95","94","93","93"
"Algeria","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","98","98","98","98","97","97"
"Angola","56","58","69","72","69","40","64","72","71","73","74","79","70","73","75","54","51","63","54","76","70","53"
"Argentina","81","75","85","93","95","92","96","99","99","99","99","99","99","99","99","99","99","99","99","95","92","95"
"Armenia","98","99","99","99","99","99","99","99","99","96","96","95","99","98","94","91","94","96","92","97","96","97"
"Azerbaijan","95","94","96","97","97","98","98","98","98","98","99","98","95","92","88","86","82","82","83","82","83","81"
"Bangladesh","99","99","99","99","99","99","99","99","99","98","99","98","99","99","98","97","97","96","93","95","95","94"
"Belarus","98","97","97","98","98","98","97","98","99","98","99","99","98","98","98","99","99","99","99","99","99","99"
"Belize","84","76","95","99","90","94","98","98","99","98","98","98","99","98","99","97","96","99","99","96","98","96"
"Benin","88","88","88","88","88","88","96","96","95","96","88","90","93","96","97","93","88","89","90","90","91","92"
"Bhutan","99","98","92","99","99","99","99","99","97","95","95","96","94","99","94","92","92","92","93","83","81","97"
"Bolivia (Plurinational State of)","78","82","80","90","93","96","99","94","94","99","99","98","93","90","87","87","88","86","96","93","90","92"
"Bosnia and Herzegovina","95","95","95","95","97","97","95","98","97","96","94","96","97","96","98","97","95","95","94","91","95","93"
"Botswana","98","98","98","98","98","98","98","98","98","98","98","98","99","99","99","99","99","99","99","99","99","99"
"Brazil","63","67","79","92","91","90","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"Brunei Darussalam","99","99","99","99","99","99","99","99","99","99","96","95","99","99","96","99","94","99","95","95","99","99"
"Bulgaria","97","97","96","96","96","96","96","97","97","97","98","98","98","98","98","98","98","98","98","98","98","98"
"Burkina Faso","98","98","98","98","98","98","98","98","96","96","99","99","99","99","99","99","99","99","83","90","80","81"
"Burundi","95","83","93","91","92","93","93","92","95","98","90","93","98","99","97","98","89","91","90","88","87","85"
"Cabo Verde","98","98","98","96","98","96","94","99","94","99","99","99","99","99","99","99","99","99","98","97","96","96"
"Cambodia","95","97","98","93","99","99","99","98","96","99","98","95","96","98","90","87","87","95","76","63","64","81"
"Cameroon","77","80","80","84","87","84","83","87","82","81","80","83","81","91","89","96","90","83","82","79","79","78"
"Central African Republic","61","61","61","61","61","61","64","68","37","74","74","74","74","74","74","74","74","73","72","71","70","66"
"Chad","67","60","51","26","59","59","70","58","60","62","52","58","46","30","44","56","41","41","40","46","52","49"
"Chile","98","98","98","96","96","97","93","98","98","92","91","95","95","99","98","98","95","95","95","96","98","93"
"China","99","99","99","99","99","99","99","99","99","99","99","99","99","97","94","92","86","86","85","85","85","84"
"Colombia","87","89","90","89","91","88","90","89","85","89","87","84","90","93","93","96","94","92","97","87","87","91"
"Comoros","96","91","94","94","94","94","94","90","85","79","78","76","80","81","77","84","80","79","79","90","90","90"
"Congo","81","72","80","81","76","80","85","95","92","92","95","95","90","93","86","84","73","85","60","51","53","50"
"Cook Islands","99","99","99","99","99","99","99","99","98","98","98","99","99","99","99","99","99","99","99","98","98","99"
"Costa Rica","88","99","99","99","99","99","99","95","93","91","90","88","91","99","99","95","96","97","93","96","91","95"
"Côte d'Ivoire","93","91","97","96","93","95","80","85","85","93","76","79","95","91","94","77","85","71","78","79","80","80"
"Croatia","97","98","98","98","98","99","98","98","99","99","99","99","99","99","99","99","98","98","98","99","97","98"
"Cuba","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"Czechia","","","","","","","","","","","","","98","99","99","99","99","99","98","97","98","98"
"Democratic People's Republic of Korea","95","99","96","96","98","97","97","98","98","98","98","98","98","97","96","96","94","95","88","96","82","78"
"Democratic Republic of the Congo","67","83","84","86","85","83","79","80","85","83","65","83","83","79","76","72","72","68","61","50","43","57"
"Djibouti","61","77","95","93","92","90","92","99","86","87","89","90","90","90","90","88","80","71","63","52","38","34"
"Dominica","89","98","98","95","97","98","98","98","97","98","98","99","99","98","90","99","98","99","99","99","99","99"
"Dominican Republic","99","85","99","99","99","99","99","99","99","99","99","98","96","92","92","95","96","97","95","97","98","90"
"Ecuador","75","81","86","90","88","84","88","89","90","94","98","98","99","98","99","99","99","99","99","99","99","99"
"Egypt","97","96","96","95","86","96","96","96","98","95","98","98","98","98","98","99","98","98","98","98","98","98"
"El Salvador","78","79","78","81","83","87","99","85","90","90","95","96","99","99","99","93","84","94","91","92","92","99"
"Equatorial Guinea","85","85","85","85","85","85","77","85","82","78","75","71","71","71","72","72","72","72","72","72","73","73"
"Eritrea","97","97","97","97","97","97","97","97","97","97","97","96","96","95","99","99","99","99","97","94","91","89"
"Estonia","90","91","92","92","94","95","95","95","96","97","99","97","97","98","98","99","99","99","99","99","99","99"
"Eswatini","97","97","98","98","98","97","98","99","99","99","98","98","97","96","95","94","93","92","91","90","89","88"
"Ethiopia","68","70","69","71","73","72","70","69","68","74","80","76","74","71","69","66","64","60","59","58","57","56"
"Fiji","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","98","98","97","97","97","96"
"Finland","","","","","","","","","","","","","","","","98","98","98","98","99","99","99"
"France","","","","","","","","","","","","","","","78","83","81","85","84","85","84","83"
"Gabon","86","85","92","87","93","94","98","91","92","97","94","94","93","93","92","92","92","91","91","90","90","89"
"Gambia","81","85","88","94","94","98","98","96","98","98","90","92","94","95","97","97","99","99","99","99","99","99"
"Georgia","96","96","96","97","96","98","96","96","95","95","96","96","95","95","96","95","95","91","87","91","94","95"
"Ghana","99","93","96","98","99","94","97","99","98","98","98","99","99","99","99","99","99","92","92","92","94","99"
"Guatemala","84","86","86","88","93","91","92","93","99","94","91","99","93","99","88","96","96","98","97","96","93","95"
"Guinea","72","72","73","73","73","73","72","66","71","77","82","93","91","87","84","81","80","79","80","80","81","81"
"Guinea-Bissau","34","67","84","89","87","91","92","93","93","94","92","93","94","93","92","90","89","87","84","82","79","77"
"Guyana","89","94","99","99","97","95","99","99","98","98","97","98","98","96","97","96","96","94","95","91","95","93"
"Haiti","73","73","73","83","83","83","83","81","82","82","83","82","80","78","78","75","75","74","74","73","72","72"
"Honduras","82","83","87","93","92","93","94","96","97","98","99","99","99","99","99","97","98","98","91","94","99","99"
"Hungary","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"India","84","85","92","92","92","89","87","89","91","90","90","89","88","86","87","86","86","80","77","75","75","74"
"Indonesia","81","87","90","92","93","90","90","90","90","88","98","88","78","80","83","88","86","85","83","82","80","81"
"Iran (Islamic Republic of)","99","98","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","97","91","99"
"Iraq","94","99","98","95","92","87","94","99","99","99","94","90","92","87","92","89","92","94","94","94","93","93"
"Ireland","0","0","0","0","0","18","77","74","76","42","41","30","30","34","33","31","31","30","90","90","89","89"
"Jamaica","97","99","97","93","93","96","99","90","93","95","95","95","94","92","87","90","95","90","88","90","96","94"
"Japan","95","95","97","99","93","98","84","93","93","95","94","99","94","90","94","","","","","","",""
"Jordan","76","76","86","94","99","99","98","95","98","96","95","95","95","95","90","95","89","58","67","29","",""
"Kazakhstan","94","93","87","95","95","95","95","95","95","95","96","96","96","97","99","99","69","65","99","99","95","98"
"Kenya","97","92","93","95","89","99","87","94","92","97","99","99","99","98","92","92","85","87","87","91","94","91"
"Kiribati","96","93","92","90","89","79","79","72","86","95","86","87","76","83","90","91","93","94","91","88","85","80"
"Kuwait","99","98","97","96","99","96","99","99","99","97","99","98","99","99","94","84","","","","","",""
"Kyrgyzstan","97","96","96","97","97","97","97","97","98","98","98","98","98","99","98","99","96","98","99","99","99","96"
"Lao People's Democratic Republic","80","90","85","92","91","89","89","89","87","85","78","72","67","68","56","61","65","60","65","65","60","69"
"Latvia","96","99","96","95","96","96","93","92","94","94","93","92","96","95","95","95","97","98","97","99","99","99"
"Lesotho","96","96","96","96","96","96","95","97","98","93","87","90","92","95","95","95","96","96","96","90","83","88"
"Liberia","81","85","84","92","87","81","74","73","87","85","85","73","87","85","77","77","76","60","64","69","73","78"
"Libya","74","74","74","74","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","98"
"Lithuania","93","96","97","96","97","98","97","98","98","98","98","99","99","99","99","99","99","99","99","99","99","99"
"Madagascar","52","75","79","75","74","74","56","64","70","74","82","76","78","83","94","95","92","85","77","73","73","72"
"Malawi","89","87","91","92","89","86","90","97","96","99","99","97","95","97","95","99","99","97","91","78","93","83"
"Malaysia","99","99","99","99","98","99","99","99","99","99","99","99","99","99","99","98","98","99","99","98","98","99"
"Maldives","99","99","99","99","99","99","99","99","99","99","98","97","99","98","98","99","97","98","98","99","98","99"
"Mali","83","78","83","83","83","82","78","73","70","77","84","82","84","86","86","86","83","76","74","82","75","69"
"Marshall Islands","83","91","89","98","92","94","99","89","93","97","80","99","98","95","92","92","93","91","93","90","99","89"
"Mauritania","79","82","90","89","88","86","85","93","95","95","86","85","81","89","92","86","91","94","96","99","95","78"
"Mauritius","95","96","99","99","99","98","98","97","99","99","99","99","95","96","98","97","99","99","99","87","89","88"
"Mexico","99","28","76","96","94","99","98","96","91","99","99","98","99","99","99","99","99","99","99","99","99","99"
"Micronesia (Federated States of)","59","84","77","80","83","85","76","73","70","78","75","70","75","79","82","55","70","62","64","52","39","24"
"Monaco","","","","","","","","","","89","89","89","89","89","89","89","89","89","89","92","94","97"
"Mongolia","99","99","99","99","99","99","99","99","99","99","99","99","98","98","99","98","99","98","98","98","98","97"
