"Country","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","66","70","72","72","66","66","64","62","64","67","68","66","63","","","","","","","","",""
"Albania","98","98","99","99","99","98","99","98","99","99","99","99","98","","","","","","","","",""
"Algeria","91","91","91","91","91","91","95","95","95","95","95","95","95","93","","","","","","","",""
"Andorra","98","98","98","99","99","98","97","97","96","98","99","98","97","98","95","93","97","95","91","92","92","90"
"Angola","41","47","53","59","52","55","55","55","54","52","50","49","47","45","43","","","","","","",""
"Antigua and Barbuda","92","99","99","95","95","92","99","99","99","98","99","98","94","97","99","99","99","97","97","97","97",""
"Argentina","76","74","83","86","86","92","94","94","94","91","91","94","94","93","91","91","98","98","96","93","83","83"
"Armenia","93","92","92","92","94","94","94","93","95","95","95","48","","","","","","","","","",""
"Australia","95","95","95","94","94","94","93","91","91","92","92","92","94","94","94","95","94","95","95","95","95","90"
"Austria","85","85","85","85","90","87","93","98","95","92","89","86","83","83","85","83","86","83","84","82","74","72"
"Azerbaijan","89","79","94","95","95","97","96","94","93","89","36","","","","","","","","","","",""
"Bahamas","75","83","89","90","94","94","95","96","97","98","98","98","96","94","95","95","93","93","93","94","99","90"
"Bahrain","98","98","99","99","97","99","98","98","99","99","99","99","97","97","97","98","98","98","97","98","99","97"
"Bangladesh","98","98","98","98","98","98","98","97","96","94","87","94","97","","","","","","","","",""
"Barbados","82","85","90","95","90","97","97","94","91","87","91","86","93","85","93","84","92","93","88","66","18",""
"Belarus","98","97","91","67","9","11","9","20","23","22","21","0","19","6","","","","","","","",""
"Belgium","97","97","97","97","97","97","98","98","98","98","98","98","98","98","98","98","95","87","87","86","86","86"
"Belize","83","79","98","96","88","95","94","95","95","98","95","96","97","94","96","98","96","97","96","89","96",""
"Benin","76","72","76","76","76","76","74","74","77","80","75","76","79","75","82","74","35","","","","",""
"Bhutan","98","96","97","97","98","98","99","99","97","97","","","","","","","","","","","",""
"Bolivia (Plurinational State of)","70","68","75","83","84","87","89","85","87","93","95","91","93","88","84","83","85","84","80","77","77","77"
"Bosnia and Herzegovina","62","62","62","62","68","69","78","79","83","87","85","83","80","83","83","82","50","49","","","",""
"Botswana","95","95","95","95","95","95","95","95","95","95","95","","","","","","","","","","",""
"Brazil","68","77","72","83","93","89","96","95","98","95","99","99","99","99","98","97","96","95","94","93","93","90"
"Brunei Darussalam","99","99","99","99","99","99","99","96","99","95","97","95","99","98","99","97","94","92","92","94","",""
"Bulgaria","89","91","92","92","92","92","87","83","95","95","95","91","","","","","","","","","",""
"Burkina Faso","91","91","91","91","91","91","91","91","88","90","91","91","92","93","89","76","","","","","",""
"Burundi","94","93","93","90","91","94","94","95","96","96","96","96","94","92","99","92","87","83","","","",""
"Cabo Verde","94","94","97","99","97","96","94","96","93","94","90","","","","","","","","","","",""
"Cambodia","92","92","92","92","93","93","92","91","86","89","88","86","","","","","","","","","",""
"Cameroon","69","69","67","67","74","75","78","83","89","85","82","84","80","","","","","","","","",""
"Canada","92","92","92","91","91","91","91","91","91","90","89","90","91","92","93","95","93","91","88","88","88","88"
"Central African Republic","42","42","42","42","42","42","43","45","23","47","47","45","42","","","","","","","","",""
"Chad","58","52","50","46","41","41","42","36","39","40","33","39","24","17","","","","","","","",""
"Chile","95","93","96","95","93","95","97","95","90","90","94","92","94","95","96","94","91","93","96","97","97","91"
"Colombia","86","88","92","92","92","91","91","90","91","92","85","88","92","92","94","93","93","89","93","69","55","65"
"Comoros","85","87","91","91","91","91","91","88","88","89","83","74","38","","","","","","","","",""
"Congo","77","73","79","75","69","71","80","90","85","64","71","74","72","","","","","","","","",""
"Cook Islands","98","98","98","99","99","99","99","99","98","98","93","99","82","","","","","","","","",""
"Costa Rica","99","97","96","94","96","97","92","91","95","90","81","90","87","87","88","88","89","90","88","93","89","92"
"Côte d'Ivoire","76","75","81","84","83","87","79","73","75","82","62","79","81","","","","","","","","",""
"Croatia","92","93","94","94","92","93","94","95","96","96","96","97","96","96","96","96","96","95","95","79","",""
"Cuba","99","99","99","99","99","99","99","97","96","96","96","96","96","97","97","97","94","99","99","99","99","99"
"Cyprus","92","92","92","97","96","96","97","96","96","96","96","96","96","90","90","90","58","58","58","32","32","32"
"Czechia","94","96","97","96","94","96","97","99","99","99","99","99","99","99","99","97","97","98","97","95","",""
"Democratic People's Republic of Korea","41","97","97","97","97","96","96","93","93","32","","","","","","","","","","","",""
"Democratic Republic of the Congo","65","70","73","71","71","70","70","73","71","71","70","60","71","","","","","","","","",""
"Denmark","97","97","97","97","98","94","93","94","94","94","91","90","89","88","87","93","93","95","96","96","95","95"
"Djibouti","59","70","85","84","76","68","84","78","82","81","87","88","89","89","25","","","","","","",""
"Dominica","92","97","99","94","91","99","98","97","96","97","98","98","99","96","93","7","","","","","",""
"Dominican Republic","83","80","79","78","77","73","76","87","75","70","71","81","77","79","70","80","87","80","75","43","20",""
"Ecuador","68","70","85","85","85","83","78","83","87","87","88","90","93","95","95","94","90","86","54","","",""
"Egypt","96","94","95","95","94","95","93","94","","","","","","","","","","","","","",""
