"Country","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"Afghanistan","63","68","68","70","70","70","70","65","60","60","79","89","83","84","95","96","95","62","52","47","32","28","21","19","17","13","10","13","11","13","13","26","16","13","18","13","5","4","2","3","1"
"Albania","96","96","95","95","92","92","92","87","87","87","87","87","87","87","87","86","85","81","80","83","86","80","74","92","91","90","91","89","87","72","30","","","","","","","","","",""
"Algeria","98","98","98","98","92","92","92","90","90","90","90","71","71","70","70","69","69","66","66","65","64","62","60","58","45","44","42","40","28","18","75","3","","","","","","","","",""
"Angola","70","70","78","78","78","78","78","75","72","70","75","88","79","78","77","75","73","71","68","64","60","56","52","51","49","48","46","44","41","37","34","32","31","27","25","19","13","8","","",""
"Bahamas","100","100","100","100","100","100","99","99","99","99","99","99","99","99","99","90","89","88","87","86","85","84","83","82","80","79","78","76","74","73","71","69","65","61","","","","","","",""
"Bahrain","99","98","98","98","98","98","98","94","94","94","94","94","99","96","93","97","97","91","94","86","84","76","80","72","63","59","56","57","51","44","48","27","28","13","18","34","34","31","25","36","5"
"Bangladesh","98","98","98","98","97","97","96","94","94","94","93","93","91","91","92","89","89","89","89","89","89","87","86","90","87","85","81","70","71","76","70","27","14","8","5","3","2","2","2","1","2"
"Belize","95","91","91","91","91","91","91","88","88","88","88","88","88","87","85","87","86","86","84","84","85","85","85","86","86","87","87","87","88","88","88","88","88","88","88","88","89","89","83","75",""
"Benin","81","81","85","85","85","85","93","93","93","92","92","92","92","93","95","95","93","84","85","81","87","89","79","82","81","82","61","58","55","71","48","23","13","9","4","","","","","",""
"Bhutan","90","90","89","89","89","89","83","83","89","89","89","89","89","84","85","85","86","87","87","86","85","84","85","81","79","78","70","60","58","68","63","39","14","14","6","3","3","","","",""
"Bolivia (Plurinational State of)","89","87","87","87","87","87","87","76","76","74","74","74","74","71","71","70","70","69","69","68","67","66","61","60","58","57","56","53","49","25","23","21","11","3","","","","","","",""
"Botswana","91","91","93","93","92","92","92","92","92","92","92","92","85","84","84","83","83","82","82","81","80","80","72","69","75","72","91","63","62","59","59","58","54","50","43","39","41","36","27","29",""
"Brazil","96","94","94","94","93","93","93","93","93","92","92","92","92","92","92","67","78","76","65","92","92","89","86","83","81","78","75","71","68","64","63","62","59","56","","","","","","",""
"Brunei Darussalam","97","96","96","96","95","95","95","95","95","95","95","65","65","64","64","64","68","80","79","78","77","62","66","79","74","69","64","58","57","38","40","42","43","45","50","51","48","30","","",""
"Burkina Faso","95","92","92","92","92","92","89","88","88","88","85","85","79","80","76","72","69","67","63","60","57","55","49","63","52","64","58","54","52","55","55","55","22","18","13","8","10","12","11","10",""
"Burundi","90","90","90","87","85","85","85","85","85","80","94","94","78","76","66","65","66","65","63","55","51","35","44","60","61","61","71","67","70","69","67","65","59","53","35","21","16","11","","",""
"Cabo Verde","95","92","92","92","92","92","92","92","92","92","92","78","78","77","74","70","78","76","62","46","60","64","62","63","24","30","65","91","92","91","75","82","77","","","","","","","",""
"Cambodia","95","93","93","93","93","93","91","91","91","91","91","91","87","87","84","81","79","71","64","62","58","50","47","46","47","45","34","26","11","11","11","10","10","10","10","9","8","6","","",""
"Cameroon","83","83","85","85","85","85","85","85","85","75","91","91","86","83","81","76","73","71","65","52","54","55","47","40","21","20","18","18","26","19","19","20","20","17","13","10","6","","","",""
"Central African Republic","63","60","60","60","60","60","60","66","66","80","86","86","86","54","52","48","35","32","31","34","36","38","24","29","33","34","31","39","45","77","69","49","34","25","25","24","24","19","18","13","8"
"Chad","78","78","78","78","75","75","60","50","43","60","60","60","58","60","60","61","61","60","48","37","39","43","47","49","43","65","60","56","11","13","14","19","10","8","","","","","","",""
"Colombia","97","95","95","95","85","85","85","79","79","79","79","78","78","78","77","77","76","73","72","71","70","69","67","66","65","64","62","61","59","57","45","41","24","8","8","8","7","7","7","6","3"
"Comoros","83","85","85","85","85","85","85","85","85","85","85","83","83","89","88","91","92","93","84","70","57","50","44","41","50","67","58","48","37","44","78","64","33","31","24","13","14","","","",""
"Congo","87","85","85","85","85","85","85","83","83","83","83","82","82","82","81","75","74","79","69","67","67","63","62","62","80","73","71","70","77","76","60","43","47","44","60","","","","","",""
"Côte d'Ivoire","86","85","85","85","85","85","82","82","82","82","82","92","92","74","75","75","76","76","76","76","76","71","60","54","35","36","34","47","43","41","36","31","","","","","","","","",""
"Democratic People's Republic of Korea","98","98","98","98","97","97","93","93","93","93","91","91","91","91","90","90","92","91","91","80","81","55","30","60","82","90","92","91","91","90","90","89","","","","","","","","",""
"Democratic Republic of the Congo","85","85","85","85","82","82","82","75","70","70","77","85","75","70","66","67","67","66","61","43","45","33","50","33","43","42","52","43","38","35","53","52","51","36","37","37","25","","","",""
