"Country","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008"
"Afghanistan","65","68","68","69","66","62","65","49","","","","","",""
"Albania","89","92","96","98","99","98","99","99","99","99","99","","",""
"Algeria","91","91","91","91","89","61","","","","","","","",""
"Andorra","95","96","96","94","98","92","92","93","","","","","",""
"Angola","34","53","53","59","52","55","55","45","9","","","","",""
"Argentina","74","75","80","88","76","82","82","89","86","41","","","",""
"Armenia","93","92","92","92","94","94","44","","","","","","",""
"Australia","96","97","96","95","94","94","93","91","91","91","91","91","91","91"
"Azerbaijan","90","79","95","95","96","97","94","64","","","","","",""
"Bahamas","82","83","89","90","93","94","95","96","97","37","1","1","3",""
"Bahrain","99","99","97","98","97","99","98","98","99","99","99","99","96","14"
"Bangladesh","99","99","99","99","99","97","48","","","","","","",""
"Barbados","83","86","93","89","89","96","97","90","87","84","81","78","75",""
"Belgium","94","94","94","94","94","94","94","93","93","93","","","",""
"Benin","73","68","73","73","73","73","72","69","70","67","36","","",""
"Bhutan","95","90","26","","","","","","","","","","",""
"Bolivia (Plurinational State of)","70","68","75","83","83","87","86","56","","","","","",""
"Botswana","90","90","92","91","89","91","93","95","72","52","","","",""
"Brazil","69","79","84","84","84","84","94","93","94","88","82","24","",""
"Bulgaria","86","85","88","88","91","90","90","92","94","94","94","69","",""
"Burkina Faso","66","91","91","91","91","91","91","91","","","","","",""
"Burundi","94","93","93","90","91","94","94","95","96","96","14","","",""
"Cambodia","90","90","89","84","82","87","68","","","","","","",""
"Cameroon","67","69","67","67","72","72","77","83","88","84","23","","",""
"Canada","84","84","84","81","81","80","80","79","79","73","66","58","50","42"
"Central African Republic","40","40","40","40","40","43","44","45","23","47","8","","",""
"Chile","92","89","95","93","93","93","90","92","79","82","54","","",""
"Colombia","84","89","93","94","91","89","91","89","87","84","46","22","",""
"Congo","75","71","68","73","66","67","80","85","85","10","","","",""
"Costa Rica","92","94","95","96","96","94","94","83","94","89","68","94","48",""
"Côte d'Ivoire","57","64","74","80","81","80","70","2","","","","","",""
"Croatia","75","","","","","","","","","","","","",""
"Cyprus","81","81","81","81","81","81","81","","","","","","",""
"Democratic Republic of the Congo","63","69","72","70","69","66","64","48","34","23","3","","",""
"Denmark","96","96","97","96","97","94","91","93","90","93","90","88","86",""
"Djibouti","59","70","85","84","76","68","82","78","82","","","","",""
"Dominican Republic","71","69","67","66","64","30","22","27","","","","","",""
"Ecuador","62","76","83","85","84","84","81","86","90","94","71","17","",""
"El Salvador","94","78","82","75","87","90","98","86","92","94","98","69","",""
"Eritrea","95","95","95","95","95","95","","","","","","","",""
"Eswatini","63","83","87","88","87","90","90","67","","","","","",""
"Ethiopia","61","67","64","63","64","61","57","54","48","30","12","","",""
"Fiji","99","99","99","99","99","99","99","99","87","","","","",""
"Finland","82","86","89","88","85","87","92","92","92","92","92","92","",""
"France","92","92","92","92","92","92","91","89","89","89","89","89","",""
"Gambia","78","83","87","93","90","95","97","96","96","98","95","99","",""
"Georgia","82","82","84","81","80","75","16","","","","","","",""
"Germany","82","82","82","82","82","82","83","82","84","84","86","85","84","68"
"Ghana","98","95","97","96","99","93","88","99","89","43","","","",""
